nbNodes = 27;
s = <2, 1>;
t = <7, 2>;

Nodes = {
	<1,0> // Sommet au point (1,0)
	<2,0> // Sommet au point (2,0)
	<3,0> // Sommet au point (3,0)
	<6,0> // Sommet au point (6,0)
	<0,1> // Sommet au point (0,1)
	<2,1> // Sommet au point (2,1)
	<3,1> // Sommet au point (3,1)
	<5,1> // Sommet au point (5,1)
	<6,1> // Sommet au point (6,1)
	<8,1> // Sommet au point (8,1)
	<9,1> // Sommet au point (9,1)
	<0,2> // Sommet au point (0,2)
	<1,2> // Sommet au point (1,2)
	<2,2> // Sommet au point (2,2)
	<7,2> // Sommet au point (7,2)
	<8,2> // Sommet au point (8,2)
	<9,2> // Sommet au point (9,2)
	<1,3> // Sommet au point (1,3)
	<3,3> // Sommet au point (3,3)
	<9,3> // Sommet au point (9,3)
	<3,4> // Sommet au point (3,4)
	<4,4> // Sommet au point (4,4)
	<5,4> // Sommet au point (5,4)
	<6,4> // Sommet au point (6,4)
	<7,4> // Sommet au point (7,4)
	<8,4> // Sommet au point (8,4)
	<9,4> // Sommet au point (9,4)
};

Arcs = {
	<<0, 1>, <0, 2>, 1.0>
	<<0, 1>, <1, 0>, 1.4142135623730951>
	<<0, 1>, <1, 2>, 1.4142135623730951>
	<<0, 2>, <1, 2>, 1.0>
	<<0, 2>, <0, 1>, 1.0>
	<<0, 2>, <1, 3>, 1.4142135623730951>
	<<1, 0>, <2, 0>, 1.0>
	<<1, 0>, <0, 1>, 1.4142135623730951>
	<<1, 0>, <2, 1>, 1.4142135623730951>
	<<1, 2>, <0, 2>, 1.0>
	<<1, 2>, <2, 2>, 1.0>
	<<1, 2>, <1, 3>, 1.0>
	<<1, 2>, <0, 1>, 1.4142135623730951>
	<<1, 2>, <2, 1>, 1.4142135623730951>
	<<1, 3>, <1, 2>, 1.0>
	<<1, 3>, <0, 2>, 1.4142135623730951>
	<<1, 3>, <2, 2>, 1.4142135623730951>
	<<2, 0>, <1, 0>, 1.0>
	<<2, 0>, <3, 0>, 1.0>
	<<2, 0>, <2, 1>, 1.0>
	<<2, 0>, <3, 1>, 1.4142135623730951>
	<<2, 1>, <3, 1>, 1.0>
	<<2, 1>, <2, 0>, 1.0>
	<<2, 1>, <2, 2>, 1.0>
	<<2, 1>, <1, 0>, 1.4142135623730951>
	<<2, 1>, <1, 2>, 1.4142135623730951>
	<<2, 1>, <3, 0>, 1.4142135623730951>
	<<2, 2>, <1, 2>, 1.0>
	<<2, 2>, <2, 1>, 1.0>
	<<2, 2>, <1, 3>, 1.4142135623730951>
	<<2, 2>, <3, 1>, 1.4142135623730951>
	<<2, 2>, <3, 3>, 1.4142135623730951>
	<<3, 0>, <2, 0>, 1.0>
	<<3, 0>, <3, 1>, 1.0>
	<<3, 0>, <2, 1>, 1.4142135623730951>
	<<3, 1>, <2, 1>, 1.0>
	<<3, 1>, <3, 0>, 1.0>
	<<3, 1>, <2, 0>, 1.4142135623730951>
	<<3, 1>, <2, 2>, 1.4142135623730951>
	<<3, 3>, <3, 4>, 1.0>
	<<3, 3>, <2, 2>, 1.4142135623730951>
	<<3, 3>, <4, 4>, 1.4142135623730951>
	<<3, 4>, <4, 4>, 1.0>
	<<3, 4>, <3, 3>, 1.0>
	<<4, 4>, <3, 4>, 1.0>
	<<4, 4>, <5, 4>, 1.0>
	<<4, 4>, <3, 3>, 1.4142135623730951>
	<<5, 1>, <6, 1>, 1.0>
	<<5, 1>, <6, 0>, 1.4142135623730951>
	<<5, 4>, <4, 4>, 1.0>
	<<5, 4>, <6, 4>, 1.0>
	<<6, 0>, <6, 1>, 1.0>
	<<6, 0>, <5, 1>, 1.4142135623730951>
	<<6, 1>, <5, 1>, 1.0>
	<<6, 1>, <6, 0>, 1.0>
	<<6, 1>, <7, 2>, 1.4142135623730951>
	<<6, 4>, <5, 4>, 1.0>
	<<6, 4>, <7, 4>, 1.0>
	<<7, 2>, <8, 2>, 1.0>
	<<7, 2>, <6, 1>, 1.4142135623730951>
	<<7, 2>, <8, 1>, 1.4142135623730951>
	<<7, 4>, <6, 4>, 1.0>
	<<7, 4>, <8, 4>, 1.0>
	<<8, 1>, <9, 1>, 1.0>
	<<8, 1>, <8, 2>, 1.0>
	<<8, 1>, <7, 2>, 1.4142135623730951>
	<<8, 1>, <9, 2>, 1.4142135623730951>
	<<8, 2>, <7, 2>, 1.0>
	<<8, 2>, <9, 2>, 1.0>
	<<8, 2>, <8, 1>, 1.0>
	<<8, 2>, <9, 1>, 1.4142135623730951>
	<<8, 2>, <9, 3>, 1.4142135623730951>
	<<8, 4>, <7, 4>, 1.0>
	<<8, 4>, <9, 4>, 1.0>
	<<8, 4>, <9, 3>, 1.4142135623730951>
	<<9, 1>, <8, 1>, 1.0>
	<<9, 1>, <9, 2>, 1.0>
	<<9, 1>, <8, 2>, 1.4142135623730951>
	<<9, 2>, <8, 2>, 1.0>
	<<9, 2>, <9, 1>, 1.0>
	<<9, 2>, <9, 3>, 1.0>
	<<9, 2>, <8, 1>, 1.4142135623730951>
	<<9, 3>, <9, 2>, 1.0>
	<<9, 3>, <9, 4>, 1.0>
	<<9, 3>, <8, 2>, 1.4142135623730951>
	<<9, 3>, <8, 4>, 1.4142135623730951>
	<<9, 4>, <8, 4>, 1.0>
	<<9, 4>, <9, 3>, 1.0>
};
